adonis_func,adonis_sys,bunkerbuster,gcov
0.0367,0.0233,0.0676,0.5579
0.0384,0.0293,0.0535,0.4918
0.0344,0.0299,0.0663,0.4613
0.0282,0.0268,0.0655,0.4726
0.0388,0.0315,0.0746,0.4924
0.0391,0.0351,0.0656,0.5576
0.038,0.0326,0.0675,0.5142
0.0217,0.0197,0,0.5111
0.029,0.0259,0,0.4509
0.0209,0.0155,0,0.4316
0.042,0.036,0.0701,0.585
